date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA100,EMA200
2010-06-29,19.0,25.0,17.54,23.89,18766300.0,23.89,23.89,23.89,23.89
2010-06-30,25.79,30.4192,23.3,23.83,17187100.0,23.884285714285717,23.88764705882353,23.88881188118812,23.88940298507463
2010-07-01,25.0,25.92,20.27,21.96,8218800.0,23.70102040816327,23.812053056516724,23.850617586511124,23.870204945422145
2010-07-02,23.0,23.1,18.71,19.2,5139800.0,23.272351797862008,23.631188230770974,23.758526149154466,23.82373524447267
2010-07-06,20.0,20.0,15.83,16.11,6866900.0,22.590223055208487,23.336239672701524,23.607070185804872,23.746981659950556
2010-07-07,16.4,16.63,14.98,15.8,6921700.0,21.943535145188633,23.04070086200735,23.45247473658101,23.667907215572942
2010-07-08,16.14,17.52,15.57,17.46,7711400.0,21.51653179802781,22.82184984781098,23.333811870510097,23.606136994522465
2010-07-09,17.58,17.9,16.55,17.4,4050600.0,21.12448115059659,22.60922828515173,23.21631064535148,23.544384387611796
2010-07-12,17.95,18.07,17.0,17.05,2202500.0,20.73643532673025,22.39121933279284,23.094205484057394,23.479763647436556
2010-07-13,17.3938,18.64,16.9,18.14,2680100.0,20.489155771803556,22.224504849153906,22.996102405165168,23.426631670845147
2010-07-14,17.94,20.15,17.7601,19.84,4195200.0,20.42733141258417,22.13099485506944,22.933605327835163,23.390943793523306
2010-07-15,19.94,21.5,19.0,19.89,3739800.0,20.37615699233806,22.043112703890248,22.873335915402784,23.35610853189621
2010-07-16,20.7,21.3,20.05,20.64,2621300.0,20.401284897829672,21.988088676286708,22.829111441830452,23.329082576354956
2010-07-19,21.37,22.25,20.92,21.91,2486500.0,20.54497205041732,21.985026375255856,22.81091121525955,23.31496235171461
2010-07-20,21.85,21.85,20.05,20.3,1825300.0,20.521641378949006,21.918946909559548,22.761190201095996,23.284962726324416
2010-07-21,20.66,20.9,19.5,20.22,1252500.0,20.49291362857291,21.852321540557213,22.71086960305449,23.25446558476895
2010-07-22,20.5,21.25,20.37,21.0,957800.0,20.541207568708824,21.818897166417717,22.67699099705341,23.232033091388168
2010-07-23,21.19,21.56,21.06,21.29,653600.0,20.6125211335937,21.798156101068002,22.64952582879493,23.212709379036045
2010-07-26,21.5,21.5,20.3,20.95,922200.0,20.644661978013346,21.764895077496707,22.615871851987105,23.19019485785161
2010-07-27,20.91,21.18,20.26,20.55,619700.0,20.63564655153588,21.71725213328115,22.574963498482408,23.163924262251097
2010-07-28,20.55,20.9,20.51,20.72,467200.0,20.643680213294367,21.67814420648581,22.53823154801741,23.13960660790034
2010-07-29,20.77,20.88,20.0,20.35,616000.0,20.615710669171094,21.626060119956957,22.494900230234887,23.11184932821974
2010-07-30,20.2,20.44,19.55,19.94,426900.0,20.55135727210718,21.55994011525276,22.444308146467858,23.080288638386712
2010-08-02,20.5,20.97,20.333,20.92,718100.0,20.586466103335066,21.534844424458537,22.414123826735818,23.05879322904953
2010-08-03,21.0,21.95,20.82,21.95,1230500.0,20.716326474446014,21.551125035264086,22.404933255909366,23.04776046060128
2010-08-04,21.95,22.18,20.85,21.26,913000.0,20.768104905451157,21.539708367214512,22.382261310247795,23.029971799301766
2010-08-05,21.54,21.55,20.05,20.45,796200.0,20.737809200170094,21.496974705755118,22.34399871004487,23.004300438114687
2010-08-06,20.1,20.1601,19.52,19.59,741900.0,20.628494038249134,21.4221913839608,22.289464082123185,22.97032729942698
2010-08-09,19.9,19.98,19.45,19.6,812700.0,20.53054222508255,21.35073289831528,22.236207367625695,22.936791704407806
2010-08-10,19.65,19.65,18.82,19.03,1281300.0,20.387633441741354,21.25972376504801,22.172718112821226,22.89791815511022
2010-08-11,18.69,18.88,17.85,17.9,797600.0,20.15071597109932,21.127969891908876,22.08810983335942,22.84818762620365
2010-08-12,17.8,17.9,17.39,17.6,691000.0,19.907790640518435,20.989618131441862,21.9992363713127,22.795966853803613
2010-08-13,18.18,18.45,17.6604,18.32,634000.0,19.756572484278585,20.884927224326496,21.926380205544135,22.751429870183678
2010-08-16,18.45,18.8,18.2616,18.78,485800.0,19.66356558101396,20.802381058666636,21.86407564701851,22.711913155057474
2010-08-17,18.96,19.4,18.78,19.15,447900.0,19.614654573298342,20.737581801464025,21.810331574800323,22.676471233116605
2010-08-18,19.59,19.59,18.6,18.77,601300.0,19.53421128060326,20.660421730818374,21.750126989160712,22.63760087258808
2010-08-19,18.54,19.25,18.33,18.79,579100.0,19.463334015783904,20.587071859021577,21.691510613137726,22.599316286791183
2010-08-20,18.65,19.11,18.5101,19.1,296000.0,19.428730776185436,20.528755315530535,21.640193571293416,22.56449721926092
2010-08-23,19.09,20.3891,19.0,20.13,1088100.0,19.49551832131063,20.513117852176396,21.610288748099485,22.540273366332954
2010-08-24,19.25,19.71,18.95,19.2,673100.0,19.467373719281046,20.46162303444399,21.562560258038108,22.50703681542417
2010-08-25,19.16,19.98,18.56,19.9,503300.0,19.50857622220666,20.439598601720697,21.529638272730423,22.48109615059408
2010-08-26,19.89,20.27,19.6,19.75,433800.0,19.53156896294888,20.412555519300277,21.494397910894175,22.45392106451852
2010-08-27,19.75,19.865,19.5,19.7,379600.0,19.54761001409661,20.384612165602228,21.45886527899528,22.42651886487157
2010-08-30,19.7,20.19,19.61,19.87,732800.0,19.578313822277885,20.364431296362923,21.427402600203294,22.401080866216134
2010-08-31,19.66,19.79,19.33,19.48,201100.0,19.568950601108565,20.3297477161134,21.388840172476495,22.372015384960253
2010-09-01,19.62,20.69,19.6,20.45,494900.0,19.652860067669653,20.33446349195209,21.37024927797201,22.35289085376662
2010-09-02,20.37,21.24,20.3103,21.06,487100.0,19.786873394558256,20.3629159040324,21.36410572791316,22.340026268157004
2010-09-03,20.87,21.3,20.66,21.05,434600.0,19.907171166505087,20.389860378384068,21.35788581250894,22.327190185886785
2010-09-07,20.61,21.0,20.5,20.54,243400.0,19.967440579218888,20.395748206682732,21.341690053845397,22.30940719896254
2010-09-08,20.66,20.95,20.6,20.9,288400.0,20.05625576215042,20.415522786812822,21.332943716145486,22.29538324673406
2010-09-09,21.0,21.05,20.69,20.71,376200.0,20.118517118136094,20.427070912820163,21.32060819701389,22.279608289055115
2010-09-10,20.75,20.93,19.76,20.17,386600.0,20.123420249742182,20.416989700552705,21.297823876280944,22.25861716180084
2010-09-13,20.89,20.8995,20.5,20.72,360800.0,20.180237368814353,20.428872457393776,21.286381819324884,22.243307538300336
2010-09-14,20.54,21.6,20.53,21.12,654700.0,20.269738571784416,20.455975498280296,21.2830871298333,22.232130348864512
2010-09-15,20.98,22.0,20.79,21.98,684600.0,20.432620612566854,20.515741165014404,21.296887384688088,22.229621589174318
2010-09-16,22.15,23.16,20.84,20.94,2684500.0,20.48094245898906,20.532378766386387,21.289820307763573,22.216789533560647
2010-09-17,21.02,21.32,19.8,20.23,1198500.0,20.457043177180577,20.520520775547705,21.268833767015778,22.197020483475466
2010-09-20,20.67,21.35,20.16,21.055,947500.0,20.513991446020523,20.54148074513407,21.264599434995663,22.18565709558019
2010-09-21,20.89,21.55,20.67,20.77,796000.0,20.538373213066187,20.55044228454058,21.254805386777928,22.171570955325663
2010-09-22,20.87,20.95,19.8,19.87,962900.0,20.4747186213456,20.52375827338213,21.22738349793084,22.148669751790084
2010-09-23,19.89,20.14,19.5,19.56,668100.0,20.387602562169825,20.48596383128871,21.194366002922308,22.122911843812073
2010-09-24,19.95,20.19,19.65,20.1,578900.0,20.360211841963174,20.470827994767586,21.172695389003053,22.102783367754242
2010-09-27,20.4,20.81,20.05,20.53,418600.0,20.376382142728584,20.473148465561014,21.159968747636654,22.087133782005445
2010-09-28,21.04,21.49,20.76,21.4,1214500.0,20.473869557706813,20.50949558455862,21.164721841742857,22.080296629945693
2010-09-29,21.19,22.03,21.13,21.98,1969300.0,20.617310552210927,20.567162424379852,21.180865963688543,22.079298653528323
2010-09-30,22.0,22.1499,20.19,20.405,2195800.0,20.597090499619412,20.56080311361986,21.165502281239263,22.062638965433514
2010-10-01,20.69,20.75,20.31,20.6,597700.0,20.597367594893754,20.56234024641908,21.154304216264226,22.048085343886914
2010-10-04,20.43,21.17,20.3,20.99,643600.0,20.634761157284824,20.579111217147744,21.15105066742731,22.03755713150993
2010-10-05,21.15,21.28,21.01,21.12,332000.0,20.680974380400556,20.60032254196548,21.150435802725777,22.028427209803368
2010-10-06,21.06,21.258,20.32,20.46,313400.0,20.659929201314792,20.59481969718252,21.1367638066322,22.012820968909804
2010-10-07,20.57,20.64,20.34,20.43,141000.0,20.638031182141955,20.58835617964595,21.122768483728592,21.997071506532592
2010-10-08,20.43,20.79,20.39,20.43,267800.0,20.618218688604625,20.582146133385322,21.109050295931986,21.981478755223808
2010-10-11,20.44,20.699,20.07,20.24,171200.0,20.58219786111847,20.568728637958447,21.091841379180856,21.96415060840566
2010-10-12,20.2,20.2829,20.03,20.24,244000.0,20.549607588630995,20.55583731882282,21.07497323305846,21.946994880958837
2010-10-13,20.64,20.85,20.36,20.54,318200.0,20.548692580189947,20.555216247496435,21.064379703690967,21.93299493189457
2010-10-14,21.0,21.0299,20.4,20.75,294800.0,20.56786471540995,20.562854826025987,21.05815436302382,21.92122383804487
2010-10-15,20.89,20.9,20.25,20.54,284700.0,20.565210932989952,20.56195855833869,21.047893880587708,21.907480317268305
2010-10-18,20.52,20.6399,20.22,20.23,162800.0,20.533286082229004,20.548940575658744,21.031697962160226,21.890788970827824
2010-10-19,20.2,20.4061,20.0,20.05,245200.0,20.48725883630243,20.529374278574085,21.012258398553094,21.872472662660385
2010-10-20,20.16,20.69,20.04,20.65,312500.0,20.502757994749818,20.53410469902216,21.00508496491838,21.86030875556924
2010-10-21,20.61,20.95,20.45,20.75,417100.0,20.52630485239269,20.542571181413447,21.000033777494256,21.84926090725512
2010-10-22,20.68,20.93,20.55,20.72,161100.0,20.544752009307672,20.549529174299195,20.994488554177536,21.83802448031726
2010-10-25,20.94,20.98,20.73,20.85,118500.0,20.57382324651647,20.56131234393452,20.991627394688873,21.82819339096087
2010-10-26,20.8,21.87,20.51,21.36,660900.0,20.64869722303871,20.592633428486106,20.99892190172474,21.823534750254794
2010-10-27,21.25,21.38,20.65,21.0,356500.0,20.682154630368355,20.60860858815332,20.998943250205436,21.81534037463037
2010-10-28,21.39,21.5,20.96,21.19,224200.0,20.73052085604756,20.631408251362995,21.002726552181564,21.809118082345492
2010-10-29,21.14,21.85,21.052,21.84,280600.0,20.836185536423983,20.678804006211504,21.01930622441559,21.809425365108222
2010-11-01,21.94,22.75,21.31,21.41,455800.0,20.890834532955033,20.707478358909093,21.0270427348232,21.80545098336585
2010-11-02,21.68,21.8792,21.05,21.25,322500.0,20.925040767911696,20.728753717383245,21.031457730173237,21.799924107909476
